Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
1,CCAFS,,0,LEO,NASA,Success,F9 v1.0B0003.1,Failure,4 June 2010,18:45
2,CCAFS,,525 kg,LEO,NASA,Success,F9 v1.0B0004.1,"No attempt
",8 December 2010,15:43
3,CCAFS,,"4,700 kg",LEO,NASA,"Success
",F9 v1.0B0005.1,No attempt,22 May 2012,07:44
4,CCAFS,,"4,877 kg",LEO,NASA,"Success
",F9 v1.0B0006.1,"No attempt
",8 October 2012,00:35
5,VAFB,,500 kg,Polar orbit,MDA,Success,F9 v1.0B0007.1,Uncontrolled,1 March 2013,15:10
6,CCAFS,,"3,170 kg",GTO,SES,Success,F9 v1.1B1003,No attempt,29 September 2013,16:00
7,CCAFS,,"3,325 kg",GTO,Thaicom,Success,F9 v1.1,No attempt,3 December 2013,22:41
8,Cape Canaveral,,"2,296 kg",LEO,NASA,"Success
",F9 v1.1,Controlled,6 January 2014,22:06
9,Cape Canaveral,,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,18 April 2014,19:25
10,Cape Canaveral,,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,14 July 2014,15:15
11,Cape Canaveral,,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1,"No attempt
",5 August 2014,08:00
12,Cape Canaveral,,"2,216 kg",LEO,NASA,Success,F9 v1.1,Uncontrolled,7 September 2014,05:00
13,Cape Canaveral,,"2,395 kg",LEO,NASA,Success,F9 v1.1,Failure ,21 September 2014,05:52
14,Cape Canaveral,,570 kg,HEO,USAF,"Success
",F9 v1.1,Controlled,10 January 2015,09:47
15,Cape Canaveral,,"4,159 kg",GTO,ABS,"Success
",F9 v1.1,No attempt,11 February 2015,23:03
16,Cape Canaveral,,"1,898 kg",LEO,NASA,"Success
",F9 v1.1,Failure,2 March 2015,03:50
17,Cape Canaveral,,"4,707 kg",GTO,,"Success
",F9 v1.1,No attempt,14 April 2015,20:10
18,Cape Canaveral,,"1,952 kg",LEO,NASA,Failure,F9 v1.1,Precluded,27 April 2015,23:03
19,Cape Canaveral,,"2,034 kg",LEO,Orbcomm,"Success
",F9 v1.1,Success,28 June 2015,14:21
20,VAFB,,553 kg,LEO,NASA,"Success
",F9 FT,Failure,22 December 2015,01:29
21,Cape Canaveral,,"5,271 kg",GTO,SES,"Success
",F9 v1.1,Failure,17 January 2016,18:42
22,Cape Canaveral,,"3,136 kg",LEO,NASA,Success,F9 FT,Success,4 March 2016,23:35
23,Cape Canaveral,,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,8 April 2016,20:43
24,Cape Canaveral,,"3,100 kg",GTO,Thaicom,"Success
",F9 FT,Success,6 May 2016,05:21
25,Cape Canaveral,,"3,600 kg",GTO,ABS,"Success
",F9 FT,Failure,27 May 2016,21:39
26,Cape Canaveral,,"2,257 kg",LEO,NASA,"Success
",F9 FT,Success,15 June 2016,14:29
27,Cape Canaveral,,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,18 July 2016,04:45
28,VAFB,,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,Success,14 August 2016,05:26
29,KSC,,"2,490 kg",LEO,NASA,"Success
",F9 FT,Success,14 January 2017,17:54
30,KSC,,"5,600 kg",GTO,EchoStar,"Success
",F9 FT,No attempt,19 February 2017,14:39
31,KSC,,"5,300 kg",GTO,SES,Success,F9 FT,Success,16 March 2017,06:00
32,KSC,,C,LEO,NRO,"Success
",F9 FT♺,Success,30 March 2017,22:27
33,KSC,,"6,070 kg",GTO,Inmarsat,"Success
",F9 FT,No attempt,1 May 2017,11:15
34,KSC,,"2,708 kg",LEO,NASA,"Success
",F9 FT,Success,15 May 2017,23:21
35,KSC,,"3,669 kg",GTO,Bulsatcom,"Success
",F9 FT,Success,3 June 2017,21:07
36,VAFB,,"9,600 kg",LEO,Iridium Communications,"Success
",F9 FTB1029.2,Success,23 June 2017,19:10
37,KSC,,"6,761 kg",GTO,Intelsat,"Success
",F9 FT,No attempt,25 June 2017,20:25
38,KSC,,"3,310 kg",LEO,NASA,"Success
",F9 FT,Success,5 July 2017,23:38
39,VAFB,,475 kg,SSO,NSPO,"Success
",F9 B4,Success,14 August 2017,16:31
40,KSC,,"4,990 kg",LEO,USAF,"Success
",F9 FT,Success,24 August 2017,18:51
41,VAFB,,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B4,Success,7 September 2017,14:00
42,KSC,,"5,200 kg",GTO,SES S.A.,"Success
",F9 B4,Success,9 October 2017,12:37
43,KSC,,"3,500 kg",GTO,KT Corporation,"Success
",F9 FTB1031.2,Success,11 October 2017,22:53:00
44,Cape Canaveral,,"2,205 kg",LEO,NASA,"Success
",F9 B4,Success,30 October 2017,19:34
45,VAFB,,"9,600 kg",Polar,Iridium Communications,Success,F9 FTB1035.2,Controlled,15 December 2017,15:36
46,CCAFS,,C,LEO,Northrop Grumman,Success,F9 FTB1036.2,Success,23 December 2017,01:27
47,CCAFS,,"4,230 kg",GTO,SES,Success,F9 B4,Controlled,8 January 2018,01:00
48,VAFB,,"2,150 kg",SSO,Hisdesat,Success,F9 FTB1032.2,No attempt,31 January 2018,21:25
49,CCAFS,,"6,092 kg",GTO,Hispasat,Success,F9 FTB1038.2,No attempt,22 February 2018,14:17
50,VAFB,,"9,600 kg",Polar,Iridium Communications,Success,F9 B4,No attempt,6 March 2018,05:33
51,CCAFS,,"2,647 kg",LEO,NASA,Success,F9 B4B1041.2,No attempt,30 March 2018,14:14
52,CCAFS,,362 kg,HEO,NASA,Success,F9 B4B1039.2,Success,2 April 2018,20:30
53,KSC,,"3,600 kg",GTO,Thales-Alenia,Success,F9 B4,Success,18 April 2018,22:51
54,VAFB,,"6,460 kg",Polar,Iridium Communications,Success,F9 B5B1046.1,No attempt,11 May 2018,20:14
55,CCAFS,,"5,384 kg",GTO,SES,Success,F9 B4B1043.2,No attempt,22 May 2018,19:47
56,CCAFS,,"2,697 kg",LEO,NASA,Success,F9 B4B1040.2,No attempt,4 June 2018,04:45
57,CCAFS,,"7,075 kg",GTO,Telesat,Success,F9 B4B1045.2,Success,29 June 2018,09:42
58,VAFB,,"9,600 kg",Polar,Iridium Communications,Success,F9 B5,Success,22 July 2018,05:50
59,CCAFS,,"5,800 kg",GTO,Telkom Indonesia,Success,F9 B5B1048,Success,25 July 2018,11:39
60,CCAFS,,"7,060 kg",GTO,Telesat,Success,F9 B5B1046.2,Success,7 August 2018,05:18
61,VAFB,,"3,000 kg",SSO,CONAE,Success,F9 B5,Success,10 September 2018,04:45
62,KSC,,"5,300 kg",GTO,Es'hailSat,Success,F9 B5B1048.2,Success,8 October 2018,02:22
63,VAFB,,"~4,000 kg",SSO,Spaceflight Industries,Success,F9 B5B1047.2,Success,15 November 2018,20:46
64,CCAFS,,"2,500 kg",LEO,NASA,"Success
",F9 B5B1046.3,Failure,3 December 2018,18:34:05
65,CCAFS,,"4,400 kg",MEO,USAF,Success,F9 B5,No attempt,5 December 2018,18:16
66,VAFB,,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B5,Success,23 December 2018,13:51
67,CCAFS,,"4,850 kg",GTO,PSN,"Success
",F9 B5B1049.2,Success,11 January 2019,15:31
68,KSC,,"12,055 kg",LEO,NASA,"Success
",F9 B5B1048.3,Success,22 February 2019,01:45
69,CCAFS,,"2,495 kg",LEO,NASA,"Success
",F9 B5[268],Success,2 March 2019,07:49
70,CCAFS,,"13,620 kg",LEO,SpaceX,"Success
",F9 B5,Success,4 May 2019,06:48
71,VAFB,,"4,200 kg",SSO,Canadian Space Agency,"Success
",F9 B5B1049.3,Success,24 May 2019,02:30
72,CCAFS,,"2,268 kg",LEO,NASA,"Success
",F9 B5B1051.2,Success,12 June 2019,14:17
73,CCAFS,,"6,500 kg",GTO,Spacecom,"Success
",F9 B5B1056.2,No attempt,25 July 2019,22:01
74,CCAFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1047.3,Success,6 August 2019,23:23
75,CCAFS,,"2,617 kg",LEO,NASA,"Success
",F9 B5,Success,11 November 2019,14:56
76,CCAFS,,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",F9 B5,Success,5 December 2019,17:29
77,CCAFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1056.3,Success,17 December 2019,00:10
78,KSC,,"12,050 kg",Sub-orbital,NASA,"Success
",F9 B5,"No attempt
",7 January 2020,02:19:21
79,CCAFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,19 January 2020,15:30
80,CCAFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,29 January 2020,14:07
81,CCAFS,,"1,977 kg",LEO,NASA,"Success
",F9 B5,Success,17 February 2020,15:05
82,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,7 March 2020,04:50
83,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,18 March 2020,12:16
84,KSC,,"12,530 kg",LEO,NASA,"Success
",F9 B5,Success,22 April 2020,19:30
85,CCAFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,30 May 2020,19:22
86,CCAFS,,"15,410 kg",LEO,SpaceX,"Success
",F9 B5,Success,4 June 2020,01:25
87,CCAFS,,"4,311 kg",MEO,U.S. Space Force,"Success
",F9 B5,Success,13 June 2020,09:21
88,CCAFS,,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",F9 B5,Success,30 June 2020,20:10:46
89,KSC,,"14,932 kg",LEO,SpaceX,"Success
",F9 B5B1058.2,Success,20 July 2020,21:30
90,CCAFS,,"~15,440 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 August 2020,05:12
91,CCAFS,,"3,130 kg",SSO,CONAE,"Success
",F9 B5B1049.6,Success,18 August 2020,14:31
92,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,30 August 2020,23:18
93,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2,Success,3 September 2020,12:46:14
94,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.3,Success,6 October 2020,11:29:34
95,CCAFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.6,Success,18 October 2020,12:25:57
96,CCAFS,,"4,311 kg",MEO,USSF,"Success
",F9 B5,Success,24 October 2020,15:31:34
97,KSC,,"~12,500 kg",LEO,NASA,"Success
",F9 B5,Success,5 November 2020,23:24:23
98,VAFB,,"1,192 kg",LEO,NASA,"Success
",F9 B5,Success,16 November 2020,00:27
99,CCAFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,21 November 2020,17:17:08
100,KSC,,"2,972 kg",LEO,NASA,"Success
",F9 B5 ♺,Success,25 November 2020,02:13
101,CCSFS,,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,6 December 2020,16:17:08
102,KSC,,C,LEO,NRO,"Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
103,CCSFS,,"3,500 kg",GTO,Türksat,"Success
",F9 B5 ♺,Success,19 December 2020,14:00:00
104,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,8 January 2021,02:15
105,CCSFS,,"~5,000 kg",SSO,SpaceX,"Success
",F9 B5B1051.8,Failure,20 January 2021,13:02
106,CCAFS,,0,LEO,"NASA (COTS)
NRO",Success,F9 B5B1058.5,Failure,24 January 2021,15:00
1,CCAFS,,0,LEO,NASA (COTS),Success,F9 v1.0B0003.1,"No attempt
",4 June 2010,18:45
2,CCAFS,,525 kg,LEO,NASA (CRS),"Success
",F9 v1.0B0004.1,No attempt,8 December 2010,15:43
3,CCAFS,,"4,700 kg",LEO,NASA (CRS),"Success
",F9 v1.0B0005.1,"No attempt
",22 May 2012,07:44
4,CCAFS,,"4,877 kg",LEO,MDA,Success,F9 v1.0B0006.1,Uncontrolled,8 October 2012,00:35
5,VAFB,,500 kg,Polar orbit,SES,Success,F9 v1.0B0007.1,No attempt,1 March 2013,15:10
6,CCAFS,,"3,170 kg",GTO,Thaicom,Success,F9 v1.1B1003,No attempt,29 September 2013,16:00
7,CCAFS,,"3,325 kg",GTO,NASA (CRS),"Success
",F9 v1.1,Controlled,3 December 2013,22:41
8,Cape Canaveral,,"2,296 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,6 January 2014,22:06
9,Cape Canaveral,,"1,316 kg",LEO,AsiaSat,Success,F9 v1.1,No attempt,18 April 2014,19:25
10,Cape Canaveral,,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,"No attempt
",14 July 2014,15:15
11,Cape Canaveral,,"4,428 kg",GTO,NASA (CRS),Success,F9 v1.1,Uncontrolled,5 August 2014,08:00
12,Cape Canaveral,,"2,216 kg",LEO,NASA (CRS),Success,F9 v1.1,Failure ,7 September 2014,05:00
13,Cape Canaveral,,"2,395 kg",LEO,"USAF
NASA
NOAA","Success
",F9 v1.1,Controlled,21 September 2014,05:52
14,Cape Canaveral,,570 kg,HEO,"ABS
Eutelsat","Success
",F9 v1.1,No attempt,10 January 2015,09:47
15,Cape Canaveral,,"4,159 kg",GTO,NASA (CRS),"Success
",F9 v1.1,Failure,11 February 2015,23:03
16,Cape Canaveral,,"1,898 kg",LEO,Turkmenistan NationalSpace Agency[88],"Success
",F9 v1.1,No attempt,2 March 2015,03:50
17,Cape Canaveral,,"4,707 kg",GTO,NASA (CRS),Failure,F9 v1.1,Precluded,14 April 2015,20:10
18,Cape Canaveral,,"1,952 kg",LEO,Orbcomm,"Success
",F9 v1.1,Success,27 April 2015,23:03
19,Cape Canaveral,,"2,034 kg",LEO,"NASA (LSP)
NOAA
CNES","Success
",F9 v1.1,Failure,28 June 2015,14:21
20,VAFB,,553 kg,LEO,SES,"Success
",F9 FT,Failure,22 December 2015,01:29
21,Cape Canaveral,,"5,271 kg",GTO,NASA (CRS),Success,F9 v1.1,Success,17 January 2016,18:42
22,Cape Canaveral,,"3,136 kg",LEO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,4 March 2016,23:35
23,Cape Canaveral,,"4,696 kg",GTO,Thaicom,"Success
",F9 FT,Success,8 April 2016,20:43
24,Cape Canaveral,,"3,100 kg",GTO,"ABS
Eutelsat","Success
",F9 FT,Failure,6 May 2016,05:21
25,Cape Canaveral,,"3,600 kg",GTO,NASA (CRS),"Success
",F9 FT,Success,27 May 2016,21:39
26,Cape Canaveral,,"2,257 kg",LEO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,15 June 2016,14:29
27,Cape Canaveral,,"4,600 kg",GTO,Iridium Communications,"Success
",F9 FT,Success,18 July 2016,04:45
28,VAFB,,"9,600 kg",Polar,NASA (CRS),"Success
",F9 FT,Success,14 August 2016,05:26
29,KSC,,"2,490 kg",LEO,EchoStar,"Success
",F9 FT,No attempt,14 January 2017,17:54
30,KSC,,"5,600 kg",GTO,SES,Success,F9 FT,Success,19 February 2017,14:39
31,KSC,,"5,300 kg",GTO,NRO,"Success
",F9 FT,Success,16 March 2017,06:00
32,KSC,,C,LEO,Inmarsat,"Success
",F9 FT♺,No attempt,30 March 2017,22:27
33,KSC,,"6,070 kg",GTO,NASA (CRS),"Success
",F9 FT,Success,1 May 2017,11:15
34,KSC,,"2,708 kg",LEO,Bulsatcom,"Success
",F9 FT,Success,15 May 2017,23:21
35,KSC,,"3,669 kg",GTO,Iridium Communications,"Success
",F9 FT,Success,3 June 2017,21:07
36,VAFB,,"9,600 kg",LEO,Intelsat,"Success
",F9 FTB1029.2,No attempt,23 June 2017,19:10
37,KSC,,"6,761 kg",GTO,NASA (CRS),"Success
",F9 FT,Success,25 June 2017,20:25
38,KSC,,"3,310 kg",LEO,NSPO,"Success
",F9 FT,Success,5 July 2017,23:38
39,VAFB,,475 kg,SSO,USAF,"Success
",F9 B4,Success,14 August 2017,16:31
40,KSC,,"4,990 kg",LEO,Iridium Communications,"Success
",F9 FT,Success,24 August 2017,18:51
41,VAFB,,"9,600 kg",Polar,"SES S.A.
EchoStar","Success
",F9 B4,Success,7 September 2017,14:00
42,KSC,,"5,200 kg",GTO,KT Corporation,"Success
",F9 B4,Success,9 October 2017,12:37
43,KSC,,"3,500 kg",GTO,NASA (CRS),"Success
",F9 FTB1031.2,Success,11 October 2017,22:53:00
44,Cape Canaveral,,"2,205 kg",LEO,Iridium Communications,Success,F9 B4,Controlled,30 October 2017,19:34
45,VAFB,,"9,600 kg",Polar,Northrop Grumman [f][238],Success,F9 FTB1035.2,Success,15 December 2017,15:36
46,CCAFS,,C,LEO,SES,Success,F9 FTB1036.2,Controlled,23 December 2017,01:27
47,CCAFS,,"4,230 kg",GTO,"Hisdesat
exactEarth
SpaceX",Success,F9 B4,No attempt,8 January 2018,01:00
48,VAFB,,"2,150 kg",SSO,"Hispasat[277]
NovaWurks",Success,F9 FTB1032.2,No attempt,31 January 2018,21:25
49,CCAFS,,"6,092 kg",GTO,Iridium Communications,Success,F9 FTB1038.2,No attempt,22 February 2018,14:17
50,VAFB,,"9,600 kg",Polar,NASA (CRS),Success,F9 B4,No attempt,6 March 2018,05:33
51,CCAFS,,"2,647 kg",LEO,NASA (LSP),Success,F9 B4B1041.2,Success,30 March 2018,14:14
52,CCAFS,,362 kg,HEO,Thales-Alenia / BTRC,Success,F9 B4B1039.2,Success,2 April 2018,20:30
53,KSC,,"3,600 kg",GTO,"Iridium Communications
GFZ • NASA",Success,F9 B4,No attempt,18 April 2018,22:51
54,VAFB,,"6,460 kg",Polar,SES,Success,F9 B5B1046.1,No attempt,11 May 2018,20:14
55,CCAFS,,"5,384 kg",GTO,NASA (CRS),Success,F9 B4B1043.2,No attempt,22 May 2018,19:47
56,CCAFS,,"2,697 kg",LEO,Telesat,Success,F9 B4B1040.2,Success,4 June 2018,04:45
57,CCAFS,,"7,075 kg",GTO,Iridium Communications,Success,F9 B4B1045.2,Success,29 June 2018,09:42
58,VAFB,,"9,600 kg",Polar,Telkom Indonesia,Success,F9 B5,Success,22 July 2018,05:50
59,CCAFS,,"5,800 kg",GTO,Telesat,Success,F9 B5B1048,Success,25 July 2018,11:39
60,CCAFS,,"7,060 kg",GTO,CONAE,Success,F9 B5B1046.2,Success,7 August 2018,05:18
61,VAFB,,"3,000 kg",SSO,Es'hailSat,Success,F9 B5,Success,10 September 2018,04:45
62,KSC,,"5,300 kg",GTO,Spaceflight Industries,Success,F9 B5B1048.2,Success,8 October 2018,02:22
63,VAFB,,"~4,000 kg",SSO,NASA (CRS),"Success
",F9 B5B1047.2,Failure,15 November 2018,20:46
64,CCAFS,,"2,500 kg",LEO,USAF,Success,F9 B5B1046.3,No attempt,3 December 2018,18:34:05
65,CCAFS,,"4,400 kg",MEO,Iridium Communications,"Success
",F9 B5,Success,5 December 2018,18:16
66,VAFB,,"9,600 kg",Polar,"PSN
SpaceIL / IAI
Air Force Research","Success
",F9 B5,Success,23 December 2018,13:51
67,CCAFS,,"4,850 kg",GTO,NASA (CCD),"Success
",F9 B5B1049.2,Success,11 January 2019,15:31
68,KSC,,"12,055 kg",LEO,NASA (CRS),"Success
",F9 B5B1048.3,Success,22 February 2019,01:45
69,CCAFS,,"2,495 kg",LEO,SpaceX,"Success
",F9 B5[268],Success,2 March 2019,07:49
70,CCAFS,,"13,620 kg",LEO,Canadian Space Agency (CSA),"Success
",F9 B5,Success,4 May 2019,06:48
71,VAFB,,"4,200 kg",SSO,NASA (CRS),"Success
",F9 B5B1049.3,Success,24 May 2019,02:30
72,CCAFS,,"2,268 kg",LEO,Spacecom,"Success
",F9 B5B1051.2,No attempt,12 June 2019,14:17
73,CCAFS,,"6,500 kg",GTO,SpaceX,"Success
",F9 B5B1056.2,Success,25 July 2019,22:01
74,CCAFS,,"15,600 kg",LEO,NASA (CRS),"Success
",F9 B5B1047.3,Success,6 August 2019,23:23
75,CCAFS,,"2,617 kg",LEO,Sky Perfect JSATKacific 1,"Success
",F9 B5,Success,11 November 2019,14:56
76,CCAFS,,"6,956 kg",GTO,SpaceX,"Success
",F9 B5,Success,5 December 2019,17:29
77,CCAFS,,"15,600 kg",LEO,NASA (CTS)[497],"Success
",F9 B5B1056.3,"No attempt
",17 December 2019,00:10
78,KSC,,"12,050 kg",Sub-orbital,SpaceX,"Success
",F9 B5,Success,7 January 2020,02:19:21
79,CCAFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,19 January 2020,15:30
80,CCAFS,,"15,600 kg",LEO,NASA (CRS),"Success
",F9 B5,Success,29 January 2020,14:07
81,CCAFS,,"1,977 kg",LEO,SpaceX,"Success
",F9 B5,Failure,17 February 2020,15:05
82,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 March 2020,04:50
83,KSC,,"15,600 kg",LEO,NASA (CCDev),"Success
",F9 B5,Success,18 March 2020,12:16
84,KSC,,"12,530 kg",LEO,SpaceX,"Success
",F9 B5,Success,22 April 2020,19:30
85,CCAFS,,"15,600 kg",LEO,SpaceXPlanet Labs,"Success
",F9 B5,Success,30 May 2020,19:22
86,CCAFS,,"15,410 kg",LEO,U.S. Space Force[530],"Success
",F9 B5,Success,4 June 2020,01:25
87,CCAFS,,"4,311 kg",MEO,Republic of Korea Army,"Success
",F9 B5,Success,13 June 2020,09:21
88,CCAFS,,"5,000–6,000 kg",GTO,SpaceXSpaceflight Industries (BlackSky),"Success
",F9 B5,Success,30 June 2020,20:10:46
89,KSC,,"14,932 kg",LEO,SpaceXPlanet Labs,"Success
",F9 B5B1058.2,Success,20 July 2020,21:30
90,CCAFS,,"~15,440 kg",LEO,CONAEPlanetIQTyvak,"Success
",F9 B5,Success,7 August 2020,05:12
91,CCAFS,,"3,130 kg",SSO,SpaceX,"Success
",F9 B5B1049.6,Success,18 August 2020,14:31
92,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,30 August 2020,23:18
93,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2,Success,3 September 2020,12:46:14
94,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.3,Success,6 October 2020,11:29:34
95,CCAFS,,"15,600 kg",LEO,USSF,"Success
",F9 B5B1051.6,Success,18 October 2020,12:25:57
96,CCAFS,,"4,311 kg",MEO,NASA (CCP)[497],"Success
",F9 B5,Success,24 October 2020,15:31:34
97,KSC,,"~12,500 kg",LEO,NASA / NOAA / ESA / EUMETSAT,"Success
",F9 B5,Success,5 November 2020,23:24:23
98,VAFB,,"1,192 kg",LEO,SpaceX,"Success
",F9 B5,Success,16 November 2020,00:27
99,CCAFS,,"15,600 kg",LEO,NASA (CRS),"Success
",F9 B5,Success,21 November 2020,17:17:08
100,KSC,,"2,972 kg",LEO,Sirius XM,"Success
",F9 B5 ♺,Success,25 November 2020,02:13
101,CCSFS,,"7,000 kg",GTO,NRO,"Success
",F9 B5 ♺,Success,6 December 2020,16:17:08
102,KSC,,C,LEO,Türksat,"Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
103,CCSFS,,"3,500 kg",GTO,SpaceX,"Success
",F9 B5 ♺,Success,19 December 2020,14:00:00
104,KSC,,"15,600 kg",LEO,Various,"Success
",F9 B5,Success,8 January 2021,02:15
105,CCSFS,,"~5,000 kg",SSO,SpaceX,"Success
",F9 B5B1051.8,Success,20 January 2021,13:02
106,CCSFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.5,Failure,24 January 2021,15:00
107,CCSFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,4 February 2021,06:19
108,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,16 February 2021,03:59:37
109,CCSFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,4 March 2021,08:24
110,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,11 March 2021,08:13:29
111,CCSFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,14 March 2021,10:01
112,CCSFS,,"15,600 kg",LEO,NASA (CTS)[497],"Success
",F9 B5B1060.6,Success,24 March 2021,08:28
113,KSC,,"~13,000 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,7 April 2021,16:34
114,CCSFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1061.2,Success,23 April 2021,9:49
115,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.7,Success,29 April 2021,03:44
116,CCSFS,,"15,600 kg",LEO,SpaceX Capella Space and Tyvak,"Success
",F9 B5B1049.9,Success,4 May 2021,19:01
117,KSC,,"~14,000 kg",LEO,SpaceX,"Success
",F9 B5B1051.10,Success,9 May 2021,06:42
118,CCSFS,,"15,600 kg",LEO,NASA (CRS),"Success
",F9 B5B1058.8,Success,15 May 2021,22:56
119,KSC,,"3,328 kg",LEO,Sirius XM,"Success
",F9 B5B1063.2,Success,26 May 2021,18:59
120,CCSFS,,"7,000 kg",GTO,,,F9 B5B1067.1,,3 June 2021,17:29
121,,,,,,,F9 B5,,6 June 2021,04:26
